0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:53 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:53 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:09:53 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:12:41 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [02/May/2019:15:12:41 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:12:41 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:12:41 -0300] "GET /PayParking/js/bootstrap.min.js HTTP/1.1" 200 51039
0:0:0:0:0:0:0:1 - - [02/May/2019:15:12:41 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:12:42 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2469
0:0:0:0:0:0:0:1 - - [02/May/2019:15:12:42 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:12:42 -0300] "GET /PayParking/RES_NOT_FOUND HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:03 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:03 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:03 -0300] "GET /PayParking/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:29 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:29 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:31 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:31 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:31 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:31 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:38 -0300] "GET /PayParking/index.xhtml HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [02/May/2019:15:14:39 -0300] "GET /PayParking/js/jquery-3.3.1.slim.min.js HTTP/1.1" 404 1132
